evaluation,hypothesis,fold,candidate_signals,tp,fp,fn,precision,recall,f1,entry_match_1s,entry_match_5s,entry_match_15s,entry_match_30s,entry_match_60s,entry_match_one_m1_bar,complexity
oos_fold,H1 M30 boundary / bar-close proxy,5,1570,5,1565,40,0.0031847133757961785,0.1111111111111111,0.006191950464396285,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.17777777777777778,single raw-clock predicate
oos_fold,H2 M30 fixed-timer proxy,1,1487,5,1482,63,0.0033624747814391394,0.07352941176470588,0.006430868167202572,0.0,0.0,0.0,0.014705882352941176,0.10294117647058823,0.11764705882352941,single raw-clock predicate
oos_fold,H2 M30 fixed-timer proxy,2,1541,9,1532,69,0.005840363400389357,0.11538461538461539,0.011117974058060531,0.0,0.01282051282051282,0.02564102564102564,0.05128205128205128,0.1282051282051282,0.20512820512820512,single raw-clock predicate
oos_fold,H2 M30 fixed-timer proxy,3,1487,6,1481,58,0.004034969737726967,0.09375,0.007736943907156673,0.0,0.015625,0.03125,0.0625,0.109375,0.140625,single raw-clock predicate
oos_fold,H2 M30 fixed-timer proxy,4,1488,4,1484,47,0.002688172043010753,0.0784313725490196,0.005198180636777128,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0784313725490196,0.13725490196078433,single raw-clock predicate
oos_fold,H2 M30 fixed-timer proxy,5,1570,5,1565,40,0.0031847133757961785,0.1111111111111111,0.006191950464396285,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.17777777777777778,single raw-clock predicate
oos_fold,H3 M30 post-120s window,1,4457,11,4446,57,0.0024680278214045323,0.16176470588235295,0.004861878453038674,0.0,0.0,0.029411764705882353,0.11764705882352941,0.19117647058823528,0.20588235294117646,single raw-clock predicate
oos_fold,H3 M30 post-120s window,2,4621,16,4605,62,0.0034624540142826226,0.20512820512820512,0.006809959565865078,0.0,0.02564102564102564,0.0641025641025641,0.21794871794871795,0.21794871794871795,0.2564102564102564,single raw-clock predicate
oos_fold,H3 M30 post-120s window,3,4460,13,4447,51,0.002914798206278027,0.203125,0.005747126436781609,0.0,0.015625,0.09375,0.1875,0.21875,0.234375,single raw-clock predicate
oos_fold,H3 M30 post-120s window,4,4464,9,4455,42,0.0020161290322580645,0.17647058823529413,0.003986710963455149,0.0196078431372549,0.058823529411764705,0.13725490196078433,0.13725490196078433,0.17647058823529413,0.21568627450980393,single raw-clock predicate
oos_fold,H3 M30 post-120s window,5,4710,7,4703,38,0.00148619957537155,0.15555555555555556,0.0029442691903259727,0.0,0.06666666666666667,0.13333333333333333,0.15555555555555556,0.15555555555555556,0.24444444444444444,single raw-clock predicate
oos_fold,H1 H1 boundary / bar-close proxy,1,743,2,741,66,0.0026917900403768506,0.029411764705882353,0.004932182490752158,0.0,0.0,0.0,0.014705882352941176,0.058823529411764705,0.058823529411764705,single raw-clock predicate
oos_fold,H1 H1 boundary / bar-close proxy,2,770,5,765,73,0.006493506493506494,0.0641025641025641,0.01179245283018868,0.0,0.0,0.01282051282051282,0.02564102564102564,0.0641025641025641,0.1282051282051282,single raw-clock predicate
oos_fold,H1 H1 boundary / bar-close proxy,3,744,1,743,63,0.0013440860215053765,0.015625,0.0024752475247524753,0.0,0.0,0.015625,0.03125,0.03125,0.046875,single raw-clock predicate
oos_fold,H1 H1 boundary / bar-close proxy,4,744,2,742,49,0.002688172043010753,0.0392156862745098,0.005031446540880503,0.0,0.0,0.0,0.0,0.0392156862745098,0.058823529411764705,single raw-clock predicate
oos_fold,H1 H1 boundary / bar-close proxy,5,786,5,781,40,0.006361323155216285,0.1111111111111111,0.012033694344163659,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.17777777777777778,single raw-clock predicate
oos_fold,H2 H1 fixed-timer proxy,1,743,2,741,66,0.0026917900403768506,0.029411764705882353,0.004932182490752158,0.0,0.0,0.0,0.014705882352941176,0.058823529411764705,0.058823529411764705,single raw-clock predicate
oos_fold,H2 H1 fixed-timer proxy,2,770,5,765,73,0.006493506493506494,0.0641025641025641,0.01179245283018868,0.0,0.0,0.01282051282051282,0.02564102564102564,0.0641025641025641,0.1282051282051282,single raw-clock predicate
oos_fold,H2 H1 fixed-timer proxy,3,744,1,743,63,0.0013440860215053765,0.015625,0.0024752475247524753,0.0,0.0,0.015625,0.03125,0.03125,0.046875,single raw-clock predicate
oos_fold,H2 H1 fixed-timer proxy,4,744,2,742,49,0.002688172043010753,0.0392156862745098,0.005031446540880503,0.0,0.0,0.0,0.0,0.0392156862745098,0.058823529411764705,single raw-clock predicate
oos_fold,H2 H1 fixed-timer proxy,5,786,5,781,40,0.006361323155216285,0.1111111111111111,0.012033694344163659,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.17777777777777778,single raw-clock predicate
oos_fold,H3 H1 post-120s window,1,2225,5,2220,63,0.0022471910112359553,0.07352941176470588,0.00436109899694723,0.0,0.0,0.0,0.04411764705882353,0.10294117647058823,0.11764705882352941,single raw-clock predicate
oos_fold,H3 H1 post-120s window,2,2308,8,2300,70,0.0034662045060658577,0.10256410256410256,0.006705783738474434,0.0,0.0,0.038461538461538464,0.10256410256410256,0.10256410256410256,0.14102564102564102,single raw-clock predicate
oos_fold,H3 H1 post-120s window,3,2231,4,2227,60,0.0017929179740026895,0.0625,0.003485838779956427,0.0,0.0,0.03125,0.0625,0.078125,0.09375,single raw-clock predicate
oos_fold,H3 H1 post-120s window,4,2232,3,2229,48,0.0013440860215053765,0.058823529411764705,0.002628120893561104,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,single raw-clock predicate
oos_fold,H3 H1 post-120s window,5,2358,7,2351,38,0.0029686174724342664,0.15555555555555556,0.005826050769870994,0.0,0.06666666666666667,0.13333333333333333,0.15555555555555556,0.15555555555555556,0.24444444444444444,single raw-clock predicate
